製品,製品単位,部品,必要量,部品単位,行番,不要
3/N1873,K,3/B1917,0.37,K,3,3
3/N1943,K,1/24001,0.59,K,2,2
3/N1943,K,3/B1907,0.45,K,3,3
3/N1953,K,1/24001,0.59,K,2,2
3/N1953,K,3/B1917,0.45,K,3,3
3/N1963,K,1/23231,0.59,K,2,2
3/N1963,K,3/B1907,0.45,K,3,3
3/N1973,K,1/23231,0.59,K,2,2
3/N1973,K,3/B1917,0.45,K,3,3
3/R0819,K,1/600SA,0.22,K,2,2
3/R0819,K,3/R0820,0.8,K,3,3
3/R0820,K,1/52013,0.47,K,2,2
3/R0820,K,1/25511,0.53,K,3,3
3/R1409,K,1/600SA,0.36,K,2,2
3/R1409,K,1/25732,0.74,K,3,3
3/R1445,K,1/600SA,0.39,K,2,2
3/R1445,K,1/24031,0.71,K,3,3
3/R1469,K,1/600SA,0.37,K,2,2
3/R1469,K,1/85161,0.73,K,3,3
3/R1779,K,3/C1597,0.43,K,2,2
3/R1779,K,1/24031,0.59,K,3,3
3/S2842,K,3/353MA,1.01,K,2,2
3/V2114,K,1/36561,0.39,K,2,2
3/V2114,K,1/50041,0.39,K,3,3
3/V2114,K,1/48051,0.25,K,4,4
3/W1446,K,3/581AA,1.02,K,2,2
3/W1686,K,3/552CA,1.02,K,2,2
3/W1921,K,3/558CA,1.03,K,2,2
3/W2487,K,1/10151,0.3,K,2,2
3/W2487,K,1/25871,0.72,K,3,3
3/W2497,K,1/10151,0.3,K,2,2
3/W2497,K,1/25871,0.72,K,3,3
3/W2854,K,3/264KA,1.02,K,2,2
3/W2864,K,3/278KA,1.02,K,2,2
3/Y5161,K,1/82081,0.43,K,2,2
3/Y5161,K,1/964AA,0.57,K,3,3
3/Y5171,K,3/Y5161,1,K,2,2
3/Y5181,K,1/82081,0.43,K,2,2
3/Y5181,K,1/964BS,0.57,K,3,3
3/Y5191,K,3/Y5181,1,K,2,2
