コード,名称,フリガナ,単位,入数,規格・型番,色,サイズ,数量小数桁,単価小数桁,在庫管理,課税区分,発注ロット,リードタイム,在庫適正数,在庫評価方法,主たる仕入先,仕入先名,主たる倉庫,倉庫名,発注連動,分類１,分類１名,分類２,分類２名,分類３,分類３名,分類４,分類４名,分類５,数単位,メモ欄,税抜上代,税抜売上単価１,税抜売上単価２,税抜売上単価３,税抜売上単価４,税抜売上原価,税抜仕入単価,税抜標準原価,税込上代,税込売上単価１,税込売上単価２,税込売上単価３,税込売上単価４,税込売上原価,税込仕入単価,税込標準原価,参照表示,更新日
5/292049LX,生機292049LX,ｷﾊﾞﾀ292049LX,反,0.02,P93/C7,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,,HARA,,非対象,5,生機,20,,B,,,,,M,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
5/292050YX,生機292050YX,ｷﾊﾞﾀ292050YX,反,0.02,P94/CU6,50M,140,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,,HARA,,非対象,5,生機,20,,B,,,,,M,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
5/295000YA,生機295000YA,ｷﾊﾞﾀ295000YA,反,0.02,TA65/P35,50M,138,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,,HARA,,非対象,5,生機,20,,B,,,,,M,,24200,20167,17285.7,15125,13444.4,12100,12100,12100,,,,,,,,,表示する,
5/295023YX,生機295023YX,ｷﾊﾞﾀ295023YX,反,0.02,TA73/P27,50M,138,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,,HARA,,非対象,5,生機,20,,B,,,,,M,,79068,65890,56477.1,49417.5,43926.7,39534,39534,39534,,,,,,,,,表示する,
5/295025YX,生機295025YX,ｷﾊﾞﾀ295025YX,反,0.02,TA50/R40/P10,50M,123,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,,HARA,,非対象,5,生機,20,,B,,,,,M,,43608,36340,31148.6,27255,24226.7,21804,21804,21804,,,,,,,,,表示する,
5/295026YX,生機295026YX,ｷﾊﾞﾀ295026YX,反,0.02,TA55/R35/P10,50M,114,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,,HARA,,非対象,5,生機,20,,B,,,,,M,,37429,31191,26735,23393.1,20793.9,18714.5,18714.5,18714.5,,,,,,,,,表示する,
5/295027YX,生機295027YX,ｷﾊﾞﾀ295027YX,反,0.02,TA55/R35/P10,50M,115,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,,HARA,,非対象,5,生機,20,,B,,,,,M,,38382,31985,27415.7,23988.8,21323.3,19191,19191,19191,,,,,,,,,表示する,
5/295028YX,生機295028YX,ｷﾊﾞﾀ295028YX,反,0.04,TA57/R34/P9,25M,104,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,,HARA,,非対象,5,生機,50,,E,,,,,M,,22610,18842,16150,14131.3,12561.1,11305,11305,11305,,,,,,,,,表示する,
5/295029YX,生機295029YX,ｷﾊﾞﾀ295029YX,反,0.04,TA57/R34/P9,25M,104,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,,HARA,,非対象,5,生機,50,,E,,,,,M,,27922,23268,19944.3,17451.3,15512.2,13961,13961,13961,,,,,,,,,表示する,
5/350035YX,生機350035YX,ｷﾊﾞﾀ350035YX,反,0.02,P100,50M,145,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,,HARA,,非対象,5,生機,20,,B,,,,,M,,118525,98771,84660.4,74077.9,65847,59262.31,59262.31,59262.31,,,,,,,,,表示する,
