製品,製品単位,部品,必要量,部品単位
5/099658YA,反,NO099658YA,1,反
5/099660EX,反,NO099660EX,1,反
5/099683YX,反,NO099683YX,1,反
5/099706YA,反,NO099706YA,1,反
5/099707YA,反,NO099707YA,1,反
5/099762YX,反,NO099762YX,1,反
5/099788LX,反,NO099788LX,1,反
5/099797YX,反,NO099797YX,1,反
5/099818JX,反,NO099818JX,1,反
5/099819JX,反,NO099819JX,1,反
5/099838YX,反,NO099838YX,1,反
5/102633ZX,反,NO102633ZX,1,反
5/113692YX,反,NO113692YX,1,反
5/115769PI,反,NO115769PI,1,反
5/115981JA,反,NO115981JA,1,反
5/115983JA,反,NO115983JA,1,反
5/116089XE,反,NO116089XE,1,反
5/116365JA,反,NO116365JA,1,反
5/116371YX,反,NO116371YX,1,反
5/123127ZE,反,NO123127ZE,1,反
5/123127ZF,反,NO123127ZF,1,反
5/124614VX,反,NO124614VX,1,反
5/126687VX,反,NO126687VX,1,反
5/126687ZB,反,NO126687ZB,1,反
5/127250JB,反,NO127250JB,1,反
5/127250JC,反,NO127250JC,1,反
5/127250JD,反,NO127250JD,1,反
5/130132VX,反,NO130132VX,1,反
5/135239DA,反,NO135239DA,1,反
5/135392YB,反,NO135392YB,1,反
5/135426LD,反,NO135426LD,1,反
5/135499LX,反,NO135499LX,1,反
5/135520LX,反,NO135520LX,1,反
5/135521LC,反,NO135521LC,1,反
5/135527ZC,反,NO135527ZC,1,反
5/135616LG,反,NO135616LG,1,反
5/135630LX,反,NO135630LX,1,反
5/135700LX,反,NO135700LX,1,反
5/135703LX,反,NO135703LX,1,反
5/135707LX,反,NO135707LX,1,反
5/157796ZE,反,NO157796ZE,1,反
5/158388HX,反,NO158388HX,1,反
5/159557LX,反,NO159557LX,1,反
5/159558LX,反,NO159558LX,1,反
5/159559LX,反,NO159559LX,1,反
5/159560VX,反,NO159560VX,1,反
5/159560YX,反,NO159560YX,1,反
5/159560ZX,反,NO159560ZX,1,反
5/159575LX,反,NO159575LX,1,反
5/159577VX,反,NO159577VX,1,反
5/159577YX,反,NO159577YX,1,反
5/159577ZX,反,NO159577ZX,1,反
5/159580ZX,反,NO159580ZX,1,反
5/165316YX,反,NO165316YX,1,反
5/170010ZX,反,NO170010ZX,1,反
5/171132YA,反,NO171132YA,1,反
5/171132ZA,反,NO171132ZA,1,反
5/171132ZX,反,NO171132ZX,1,反
5/171143YX,反,NO171143YX,1,反
5/171144YX,反,NO171144YX,1,反
5/171163YA,反,NO171163YA,1,反
5/171163YX,反,NO171163YX,1,反
5/185112ZA,反,NO185112ZA,1,反
5/290012YA,反,NO290012YA,1,反
5/290012YX,反,NO290012YX,1,反
5/290013YA,反,NO290013YA,1,反
5/290034ZX,反,NO290034ZX,1,反
5/290041YX,反,NO290041YX,1,反
5/290045VX,反,NO290045VX,1,反
5/290054YB,反,NO290054YB,1,反
5/290072ZA,反,NO290072ZA,1,反
5/290072ZX,反,NO290072ZX,1,反
5/290106YX,反,NO290106YX,1,反
5/290107YX,反,NO290107YX,1,反
5/290168VX,反,NO290168VX,1,反
5/290168ZX,反,NO290168ZX,1,反
5/290169GA,反,NO290169GA,1,反
5/290169GX,反,NO290169GX,1,反
5/290170GA,反,NO290170GA,1,反
5/290170GX,反,NO290170GX,1,反
5/290173YX,反,NO290173YX,1,反
5/290174YX,反,NO290174YX,1,反
5/290175YX,反,NO290175YX,1,反
5/290176YX,反,NO290176YX,1,反
5/290177YX,反,NO290177YX,1,反
5/290178YX,反,NO290178YX,1,反
5/290179YX,反,NO290179YX,1,反
5/290180YX,反,NO290180YX,1,反
5/290181YX,反,NO290181YX,1,反
5/290182YX,反,NO290182YX,1,反
5/290183YX,反,NO290183YX,1,反
5/290184YX,反,NO290184YX,1,反
5/290184ZX,反,NO290184ZX,1,反
5/290185YX,反,NO290185YX,1,反
5/290186YX,反,NO290186YX,1,反
5/290187YX,反,NO290187YX,1,反
5/290188YX,反,NO290188YX,1,反
5/290189YX,反,NO290189YX,1,反
5/291036YX,反,NO291036YX,1,反
5/291042YX,反,NO291042YX,1,反
5/291046YX,反,NO291046YX,1,反
5/291047YX,反,NO291047YX,1,反
5/291050YX,反,NO291050YX,1,反
5/291051YX,反,NO291051YX,1,反
5/291052YX,反,NO291052YX,1,反
5/291053YX,反,NO291053YX,1,反
5/292017YX,反,NO292017YX,1,反
5/292023YX,反,NO292023YX,1,反
5/292028YX,反,NO292028YX,1,反
5/292029LX,反,NO292029LX,1,反
5/292030LX,反,NO292030LX,1,反
