製品,製品単位,部品,必要量,部品単位,行番,不要
4/292023YX,反,J/292023YX,1,反,1,1
4/292023YX,反,1/737AA,13.73,K,2,2
4/292027YX,反,J/292027YX,1,反,1,1
4/292027YX,反,1/849RR,7.96,K,2,2
4/292028YX,反,J/292028YX,1,反,1,1
4/292028YX,反,1/849KK,9.33,K,2,2
4/292030LX,反,J/292030LX,1,反,1,1
4/292030LX,反,1/854AA,4.32,K,2,2
4/292030LX,反,1/848QQ,1.23,K,3,3
4/292031YX,反,J/292031YX,1,反,1,1
4/292031YX,反,1/848OO,3.81,K,2,2
4/292031YX,反,1/720AA,3.8,K,3,3
4/292031YX,反,1/848PP,0.1,K,4,4
4/292036YX,反,J/292036YX,1,反,1,1
4/292036YX,反,1/845SS,8.19,K,2,2
4/292037YX,反,J/292037YX,1,反,1,1
4/292037YX,反,1/845OO,8.81,K,2,2
4/292038LX,反,J/292038LX,1,反,1,1
4/292038LX,反,1/845TT,2.74,K,2,2
4/292038LX,反,1/845UU,2.95,K,3,3
4/292039YX,反,J/292039YX,1,反,1,1
4/292039YX,反,1/845WW,12.15,K,2,2
4/292040YX,反,J/292040YX,1,反,1,1
4/292040YX,反,1/845ZZ,9.03,K,2,2
4/292040YX,反,1/661AA,0.06,K,3,3
4/292041YX,反,J/292041YX,1,反,1,1
4/292041YX,反,1/845YY,8.47,K,2,2
4/292041YX,反,1/661AA,0.06,K,3,3
4/292042LX,反,J/292042LX,1,反,1,1
4/292042LX,反,1/844FF,5.98,K,2,2
4/292043YX,反,J/292043YX,1,反,1,1
4/292043YX,反,1/635UU,7.22,K,2,2
4/292043YX,反,1/849SS,0.66,K,3,3
4/292044YX,反,J/292044YX,1,反,1,1
4/292044YX,反,1/844BB,7.92,K,2,2
4/292044YX,反,1/844CC,0.46,K,3,3
4/292045YX,反,J/292045YX,1,反,1,1
4/292045YX,反,1/844DD,7.26,K,2,2
4/292045YX,反,1/656AA,2.58,K,3,3
4/292046YX,反,J/292046YX,1,反,1,1
4/292046YX,反,1/844JJ,13.65,K,2,2
4/292046YX,反,1/645AA,0.12,K,3,3
4/292047LX,反,J/292047LX,1,反,1,1
4/292047LX,反,1/844KK,3.2,K,2,2
4/292047LX,反,1/854AA,2.34,K,3,3
4/292048YX,反,J/292048YX,1,反,1,1
4/292048YX,反,1/844LL,6.79,K,2,2
4/292048YX,反,1/849RR,0.58,K,3,3
4/292048YX,反,1/844MM,0.67,K,4,4
4/292049LX,反,J/292049LX,1,反,1,1
4/292049LX,反,1/706AA,3.07,K,2,2
4/292049LX,反,1/845EE,1.49,K,3,3
4/292050YX,反,J/292050YX,1,反,1,1
4/292050YX,反,1/844NN,5.81,K,2,2
4/292050YX,反,1/844OO,4.22,K,3,3
4/292050YX,反,1/719AA,1.64,K,4,4
4/292050YX,反,1/844PP,1.12,K,5,5
4/292051LX,反,J/292051LX,1,反,1,1
4/292051LX,反,1/844UU,11.85,K,2,2
4/292051LX,反,1/844VV,0.17,K,3,3
4/292052YX,反,J/292052YX,1,反,1,1
4/292052YX,反,1/844WW,2.99,K,2,2
4/292052YX,反,1/45401,3.74,K,3,3
4/292052YX,反,1/724AA,0.26,K,4,4
4/292053YX,反,J/292053YX,1,反,1,1
4/292053YX,反,1/845GG,7.96,K,2,2
4/292053YX,反,1/844YY,0.21,K,3,3
4/292054LX,反,J/292054LX,1,反,1,1
4/292054LX,反,1/843BB,8.31,K,2,2
4/292055YX,反,J/292055YX,1,反,1,1
4/292055YX,反,1/843OO,0.01,K,2,2
