元コード,商品コード,名称,単位,数単位,数量小数桁,単価小数桁,課税区分,在庫管理,在庫評価方法,主たる倉庫,担当,売上単価１,売上原価,仕入単価,標準原価,商品分類1,商品分類2,商品分類3
B8167,3/B8167,B8167:Z10F<33T>SD30/12(B07) :BB.F<84T>BR75/45 :<Z1200>WM :                      ,K,本,2,1,1,1,3,HARA,,,,,0,3,,
B8177,3/B8177,B8177:Z10F<33T>SD30/12(B07) :BB.F<84T>BR75/45 :<S1200>WM :                      ,K,本,2,1,1,1,3,HARA,,,,,0,3,,
B8227,3/B8227,B8227:Z10F<33T>SD30/12(B07) :TAC<61T>BR55/15(ES) :<Z1200>WMｼｮｰﾄﾊﾟｰﾝ :           ,K,本,2,1,1,1,3,HARA,,,,,1527,3,,
B8237,3/B8237,B8237:Z10F<33T>SD30/12(B07) :TAC<61T>BR55/15(ES) :<S1200>WMｼｮｰﾄﾊﾟｰﾝ :           ,K,本,2,1,1,1,3,HARA,,,,,1527,3,,
B8267,3/B8267,B8267:Z10F<33T>SD30/12(B07) :TAC<61T>BR55/15(ES) :<Z1600>WMｼｮｰﾄﾊﾟｰﾝ :           ,K,本,2,1,1,1,3,HARA,,,,,0,3,,
B8277,3/B8277,B8277:Z10F<33T>SD30/12(B07) :TAC<61T>BR55/15(ES) :<S1600>WMｼｮｰﾄﾊﾟｰﾝ :           ,K,本,2,1,1,1,3,HARA,,,,,0,3,,
B8347,3/B8347,B8347:ｽﾋﾞｰﾙF<56T>SD50/12(912):TAC110TBR100/40 JCUPS(50):<Z1200>WM :             ,K,本,2,1,1,1,3,HARA,,,,,1093.8,3,,
B8357,3/B8357,B8357:ｽﾋﾞｰﾙF<56T>SD50/12(912):TAC110TBR100/40 JCUPS(50):<S1200>WM :             ,K,本,2,1,1,1,3,HARA,,,,,1093.8,3,,
B8757,3/B8757,B8757:Z10F<33T>SD30/12(B07) :TAC(ES)<84T>BR75/20(LP9) :<S1200>WM :              ,K,本,2,1,1,1,3,HARA,,,,,1440.8,3,,
B8887,3/B8887,B8887:Z10F<33T>SD30/12(B07) :TAC<84T>BR75/20(LP9) :<Z1200>WM :                  ,K,本,2,1,1,1,3,HARA,,,,,1596.2,3,,
B8897,3/B8897,B8897:Z10F<33T>SD30/12(B07) :TAC<84T>BR75/20(LP9) :<S1200>WM :                  ,K,本,2,1,1,1,3,HARA,,,,,1596.2,3,,
B8947,3/B8947,B8947:Z10F<33T>SD30/12(B07) :TAC(SJ)<135T>BR120/33 :<Z1200>WM :                 ,K,本,2,1,1,1,3,HARA,,,,,1426.8,3,,
